date,machine_no,model,diff,spins,big,reg,event_tag,,
2025/3/13,798,マイジャグラーV,-200,"8,244",30,23,チャリ店就任,リニューアルオープン,0
2025/3/13,799,マイジャグラーV,"2,400","7,966",38,22,チャリ店就任,リニューアルオープン,0
2025/3/13,800,マイジャグラーV,400,"8,205",32,26,チャリ店就任,リニューアルオープン,0
2025/3/13,801,マイジャグラーV,800,"8,802",36,30,チャリ店就任,リニューアルオープン,0
2025/3/13,802,マイジャグラーV,-500,"7,484",25,23,チャリ店就任,リニューアルオープン,0
2025/3/13,803,マイジャグラーV,"-1,600","6,656",16,22,チャリ店就任,リニューアルオープン,0
2025/3/13,804,マイジャグラーV,"-2,000","6,980",22,10,チャリ店就任,リニューアルオープン,0
2025/3/13,805,マイジャグラーV,"-1,000","7,498",24,21,チャリ店就任,リニューアルオープン,0
2025/3/13,806,マイジャグラーV,700,"8,581",34,23,チャリ店就任,リニューアルオープン,0
2025/3/13,807,マイジャグラーV,"1,100","7,644",34,17,チャリ店就任,リニューアルオープン,0
2025/3/13,808,マイジャグラーV,"1,600","8,965",36,31,チャリ店就任,リニューアルオープン,0
2025/3/13,809,マイジャグラーV,-900,"7,685",27,16,チャリ店就任,リニューアルオープン,0
2025/3/13,810,マイジャグラーV,900,"7,642",36,12,チャリ店就任,リニューアルオープン,0
2025/3/13,811,マイジャグラーV,-600,"8,915",27,31,チャリ店就任,リニューアルオープン,0
2025/3/13,812,マイジャグラーV,900,"6,927",29,19,チャリ店就任,リニューアルオープン,0
2025/3/13,813,マイジャグラーV,"1,300","8,095",31,24,チャリ店就任,リニューアルオープン,0
2025/3/13,814,マイジャグラーV,"-2,000","6,747",17,20,チャリ店就任,リニューアルオープン,0
2025/3/13,815,マイジャグラーV,"1,200","8,543",36,28,チャリ店就任,リニューアルオープン,0
2025/3/13,816,マイジャグラーV,"1,400","7,264",35,23,チャリ店就任,リニューアルオープン,0
2025/3/13,817,マイジャグラーV,600,"9,439",37,33,チャリ店就任,リニューアルオープン,0
2025/3/13,818,マイジャグラーV,900,"7,335",33,18,チャリ店就任,リニューアルオープン,0
2025/3/13,819,マイジャグラーV,"1,000","7,834",29,36,チャリ店就任,リニューアルオープン,0
2025/3/13,820,マイジャグラーV,-200,"6,602",24,15,チャリ店就任,リニューアルオープン,0
2025/3/13,821,マイジャグラーV,"-2,100","4,957",11,12,チャリ店就任,リニューアルオープン,0
2025/3/13,822,マイジャグラーV,-700,"6,763",23,17,チャリ店就任,リニューアルオープン,0
2025/3/13,823,マイジャグラーV,-400,"6,403",23,15,チャリ店就任,リニューアルオープン,0
2025/3/13,791,アイムジャグラーEX,-600,"7,763",27,21,チャリ店就任,リニューアルオープン,0
2025/3/13,792,アイムジャグラーEX,"-1,300","5,912",17,15,チャリ店就任,リニューアルオープン,0
2025/3/13,793,アイムジャグラーEX,-800,"5,227",18,9,チャリ店就任,リニューアルオープン,0
2025/3/13,794,アイムジャグラーEX,"-1,800","6,820",17,23,チャリ店就任,リニューアルオープン,0
2025/3/13,795,アイムジャグラーEX,-900,"7,516",25,19,チャリ店就任,リニューアルオープン,0
2025/3/13,796,アイムジャグラーEX,-400,"6,667",20,25,チャリ店就任,リニューアルオープン,0
2025/3/13,797,アイムジャグラーEX,600,"8,057",32,29,チャリ店就任,リニューアルオープン,0
2025/3/13,824,アイムジャグラーEX,500,"6,720",28,19,チャリ店就任,リニューアルオープン,0
2025/3/13,825,アイムジャグラーEX,"1,800","5,666",29,13,チャリ店就任,リニューアルオープン,0
2025/3/13,826,アイムジャグラーEX,"1,400","6,667",33,14,チャリ店就任,リニューアルオープン,0
2025/3/13,827,アイムジャグラーEX,600,"5,998",27,13,チャリ店就任,リニューアルオープン,0
2025/3/13,828,アイムジャグラーEX,300,"6,388",28,16,チャリ店就任,リニューアルオープン,0
2025/3/13,829,アイムジャグラーEX,"-1,200","5,920",14,20,チャリ店就任,リニューアルオープン,0
2025/3/13,830,アイムジャグラーEX,-300,"6,244",20,22,チャリ店就任,リニューアルオープン,0
2025/3/13,745,ゴーゴージャグラー3,"1,700","8,060",37,26,チャリ店就任,リニューアルオープン,0
2025/3/13,746,ゴーゴージャグラー3,-900,"6,971",21,29,チャリ店就任,リニューアルオープン,0
2025/3/13,747,ゴーゴージャグラー3,-200,"6,416",25,21,チャリ店就任,リニューアルオープン,0
2025/3/13,748,ゴーゴージャグラー3,"1,200","7,528",34,22,チャリ店就任,リニューアルオープン,0
2025/3/13,749,ゴーゴージャグラー3,-400,"6,232",22,17,チャリ店就任,リニューアルオープン,0
2025/3/13,750,ゴーゴージャグラー3,"-1,000","6,570",24,14,チャリ店就任,リニューアルオープン,0
2025/3/13,771,ゴーゴージャグラー3,"-1,900","5,648",17,14,チャリ店就任,リニューアルオープン,0
2025/3/13,772,ゴーゴージャグラー3,"1,000","6,806",32,19,チャリ店就任,リニューアルオープン,0
2025/3/13,773,ゴーゴージャグラー3,"1,100","7,477",36,23,チャリ店就任,リニューアルオープン,0
